budget,d,N,Nd,seed,mse
1050,1,1050,1050,0,2.3771820567148567
1050,1,1050,1050,1,2.3760532712800133
1050,1,1050,1050,2,2.3680769496631204
1050,1,1050,1050,3,2.373222707726632
1050,1,1050,1050,4,2.3529143839773967
1050,1,1050,1050,5,2.36377518125271
1050,1,1050,1050,6,2.349836877284518
1050,1,1050,1050,7,2.36501343759879
1050,3,350,1050,0,2.4923457179221
1050,3,350,1050,1,2.420609998710263
1050,3,350,1050,2,2.3930767166608717
1050,3,350,1050,3,2.4000538784098437
1050,3,350,1050,4,2.3772832362533194
1050,3,350,1050,5,2.454761295089297
1050,3,350,1050,6,2.3394774300125123
1050,3,350,1050,7,2.3281046074744896
1050,5,210,1050,0,2.6316032871077795
1050,5,210,1050,1,2.487103102281605
1050,5,210,1050,2,2.55313872132138
1050,5,210,1050,3,2.468722390986645
1050,5,210,1050,4,2.55317001919404
1050,5,210,1050,5,2.5496543708972945
1050,5,210,1050,6,2.505612808513759
1050,5,210,1050,7,2.4334423674462737
1050,7,150,1050,0,2.308156614101419
1050,7,150,1050,1,2.1272567948043233
1050,7,150,1050,2,2.16688612477307
1050,7,150,1050,3,2.2275236509684317
1050,7,150,1050,4,2.300109560019056
1050,7,150,1050,5,2.220454157326119
1050,7,150,1050,6,2.2446530633428967
1050,7,150,1050,7,2.318658295434237
3150,1,3150,3150,0,2.26222830706508
3150,1,3150,3150,1,2.2786888302663697
3150,1,3150,3150,2,2.272829749243962
3150,1,3150,3150,3,2.256765363847061
3150,1,3150,3150,4,2.2583230709328848
3150,1,3150,3150,5,2.2739076276831796
3150,1,3150,3150,6,2.2794547965410996
3150,1,3150,3150,7,2.273775162921338
3150,3,1050,3150,0,2.037305045390424
3150,3,1050,3150,1,2.038860691523766
3150,3,1050,3150,2,2.026942278647869
3150,3,1050,3150,3,2.029611528475329
3150,3,1050,3150,4,2.012783829681694
3150,3,1050,3150,5,2.022631597407151
3150,3,1050,3150,6,2.007731961250382
3150,3,1050,3150,7,2.0219412208894765
3150,5,630,3150,0,1.8483071758874972
3150,5,630,3150,1,1.796986379658246
3150,5,630,3150,2,1.7823846053259427
3150,5,630,3150,3,1.7907802387442993
3150,5,630,3150,4,1.7888295967737369
3150,5,630,3150,5,1.798185762197144
3150,5,630,3150,6,1.7644529808409837
3150,5,630,3150,7,1.7496032207622527
3150,7,450,3150,0,0.7990885316213258
3150,7,450,3150,1,0.8299286998298716
3150,7,450,3150,2,0.8269629924374847
3150,7,450,3150,3,0.8124458480511222
3150,7,450,3150,4,0.7787962661275301
3150,7,450,3150,5,0.7545069045037203
3150,7,450,3150,6,0.8404917919371543
3150,7,450,3150,7,0.7480323608142957
6300,1,6300,6300,0,2.243023411944652
6300,1,6300,6300,1,2.2484589954799046
6300,1,6300,6300,2,2.2371315870915582
6300,1,6300,6300,3,2.2446864330411547
6300,1,6300,6300,4,2.228028603679877
6300,1,6300,6300,5,2.2487091305917835
6300,1,6300,6300,6,2.2453234145572827
6300,1,6300,6300,7,2.2535040948510914
6300,3,2100,6300,0,1.9471988926551098
6300,3,2100,6300,1,1.9499434598492356
6300,3,2100,6300,2,1.939030360660703
6300,3,2100,6300,3,1.936097452647189
6300,3,2100,6300,4,1.9504186817551317
6300,3,2100,6300,5,1.9452516454194455
6300,3,2100,6300,6,1.949706431843319
6300,3,2100,6300,7,1.9513436867432792
6300,5,1260,6300,0,1.5677709565225548
6300,5,1260,6300,1,1.5933797796799771
6300,5,1260,6300,2,1.6057802323251664
6300,5,1260,6300,3,1.5998363236934132
6300,5,1260,6300,4,1.6082084462492916
6300,5,1260,6300,5,1.625948453352193
6300,5,1260,6300,6,1.6034186523588847
6300,5,1260,6300,7,1.6036321628353492
6300,7,900,6300,0,0.454833817938141
6300,7,900,6300,1,0.43191900989512433
6300,7,900,6300,2,0.49473859222598127
6300,7,900,6300,3,0.4624333639000801
6300,7,900,6300,4,0.4444931355698764
6300,7,900,6300,5,0.4763601106966186
6300,7,900,6300,6,0.4770535514615137
6300,7,900,6300,7,0.4921720598397279
12600,1,12600,12600,0,2.21599787769712
12600,1,12600,12600,1,2.245616487868577
12600,1,12600,12600,2,2.2378898744462687
12600,1,12600,12600,3,2.217319000852323
12600,1,12600,12600,4,2.2469233920288785
12600,1,12600,12600,5,2.2327689475854453
12600,1,12600,12600,6,2.2384436228236857
12600,1,12600,12600,7,2.2390104780146087
12600,3,4200,12600,0,1.8891800612856573
12600,3,4200,12600,1,1.886114897303316
12600,3,4200,12600,2,1.890762247681833
12600,3,4200,12600,3,1.8758634636137201
12600,3,4200,12600,4,1.902267243626571
12600,3,4200,12600,5,1.886880669466423
12600,3,4200,12600,6,1.8886759947880074
12600,3,4200,12600,7,1.8809170602678071
12600,5,2520,12600,0,1.5052823916570697
12600,5,2520,12600,1,1.4981661180366335
12600,5,2520,12600,2,1.491544802073811
12600,5,2520,12600,3,1.5085991373772374
12600,5,2520,12600,4,1.5132705063269005
12600,5,2520,12600,5,1.5291619534864487
12600,5,2520,12600,6,1.511748788146714
12600,5,2520,12600,7,1.525534519056316
12600,7,1800,12600,0,0.2934675144391679
12600,7,1800,12600,1,0.27884315955362277
12600,7,1800,12600,2,0.29473061810373724
12600,7,1800,12600,3,0.28620372466031513
12600,7,1800,12600,4,0.2916104442879405
12600,7,1800,12600,5,0.2835053905235268
12600,7,1800,12600,6,0.2893752417735558
12600,7,1800,12600,7,0.28497777642864386
