d,N,seed,mse
adaptive(7),10,0,12.960489747160112
adaptive(7),10,1,12.94914256135876
adaptive(7),10,2,13.707573849621216
adaptive(7),10,3,12.152878450193457
adaptive(7),10,4,13.238973244673296
adaptive(7),10,5,13.37210957243638
adaptive(7),30,0,4.739289509415603
adaptive(7),30,1,4.618340933882982
adaptive(7),30,2,4.4507777326752125
adaptive(7),30,3,4.189069232222513
adaptive(7),30,4,4.177265091266456
adaptive(7),30,5,4.193025877785839
adaptive(7),100,0,1.8331562641395025
adaptive(7),100,1,2.153446941873353
adaptive(7),100,2,1.6776654017446835
adaptive(7),100,3,1.4719569296691428
adaptive(7),100,4,1.5694397757331906
adaptive(7),100,5,1.7275288470237382
adaptive(7),300,0,1.021926735839589
adaptive(7),300,1,0.9890152854146363
adaptive(7),300,2,0.9356546084178767
adaptive(7),300,3,0.63743835648795
adaptive(7),300,4,0.6169993575946469
adaptive(7),300,5,0.9167043757370054
adaptive(7),1000,0,0.460392002202828
adaptive(7),1000,1,0.4061762100967377
adaptive(7),1000,2,0.5792100570956022
adaptive(7),1000,3,0.38970378406779504
adaptive(7),1000,4,0.43690806922818254
adaptive(7),1000,5,0.5355087775281606
