d,N,seed,mse
3,1,0,177.06242084975776
3,1,1,200.1017733528536
3,1,2,196.22428770833113
3,1,3,206.39324945464554
3,1,4,192.4654311787078
3,1,5,194.74920627189545
3,1,6,179.21213112708784
3,1,7,192.4366221437196
3,3,0,66.56289338681059
3,3,1,62.272608828732174
3,3,2,65.817070986575
3,3,3,65.33770901871948
3,3,4,62.571244107190715
3,3,5,64.13271995213988
3,3,6,69.43936772806043
3,3,7,66.7895077373119
3,10,0,20.390980979909344
3,10,1,21.600502612615465
3,10,2,20.807846197178993
3,10,3,19.95731156275818
3,10,4,20.367484421699622
3,10,5,22.03308928172825
3,10,6,20.44820004257038
3,10,7,20.385700623210386
3,30,0,7.845546311110006
3,30,1,8.48696739920141
3,30,2,8.325802478999659
3,30,3,8.17783869562253
3,30,4,8.850566547475859
3,30,5,8.24877322892704
3,30,6,8.393856814586973
3,30,7,8.066735734731965
3,100,0,3.6072889785866256
3,100,1,3.6059207680087924
3,100,2,3.6892790158663313
3,100,3,3.8136483375335772
3,100,4,3.7821932427050324
3,100,5,3.86159176972504
3,100,6,3.863455389823863
3,100,7,3.716509699268719
3,300,0,2.5289311979119335
3,300,1,2.503566761254159
3,300,2,2.444978360879439
3,300,3,2.495460089728697
3,300,4,2.4579898558638353
3,300,5,2.4868720890129805
3,300,6,2.44439553470587
3,300,7,2.477120620375278
3,1000,0,2.0220054320077563
3,1000,1,2.0661328925681257
3,1000,2,2.0747826120435993
3,1000,3,2.0157556314381218
3,1000,4,2.031107087882362
3,1000,5,2.0494052226828448
3,1000,6,2.061037718003103
3,1000,7,2.0396161249600175
