controller,N,seed,mse,state_dim
P,1,0,130.7572584853394,0
P,1,1,123.77061649815319,0
P,1,2,122.65234536434716,0
P,1,3,119.7163841525474,0
P,1,4,118.3634128582924,0
P,1,5,125.40220561572627,0
P,1,6,121.07756903920203,0
P,1,7,124.9494327680275,0
P,1,8,118.58781011188961,0
P,1,9,122.16699760203691,0
P,1,10,126.92776384258863,0
P,1,11,127.53337900676395,0
P,3,0,42.15098797281533,0
P,3,1,41.576909145455176,0
P,3,2,40.94551928923457,0
P,3,3,43.26768269991497,0
P,3,4,43.31139978409501,0
P,3,5,41.57751657461834,0
P,3,6,41.61888065648711,0
P,3,7,41.18290976052468,0
P,3,8,38.83858660389784,0
P,3,9,43.958940315032805,0
P,3,10,41.75752064361057,0
P,3,11,44.54994821638454,0
P,10,0,13.053710095651926,0
P,10,1,12.715153759514468,0
P,10,2,13.714877169193699,0
P,10,3,13.45573295083213,0
P,10,4,13.093549749641678,0
P,10,5,13.205514357862928,0
P,10,6,13.1103618271689,0
P,10,7,13.29723386620548,0
P,10,8,13.348660860931874,0
P,10,9,13.504709383461698,0
P,10,10,13.459557798021319,0
P,10,11,13.216826367279843,0
P,30,0,5.642487404547174,0
P,30,1,5.47057992904018,0
P,30,2,5.560390950845533,0
P,30,3,5.366824987697641,0
P,30,4,5.501471281000228,0
P,30,5,5.2515929619815545,0
P,30,6,5.644623699183172,0
P,30,7,5.330348203104375,0
P,30,8,5.403963043465399,0
P,30,9,5.573586076032844,0
P,30,10,5.487570555500168,0
P,30,11,5.552226575101075,0
P,100,0,2.5998796056431415,0
P,100,1,2.6301380356935082,0
P,100,2,2.541390387805429,0
P,100,3,2.6817845317060782,0
P,100,4,2.5935456407662723,0
P,100,5,2.638905089906925,0
P,100,6,2.64569238537736,0
P,100,7,2.5827800209075202,0
P,100,8,2.584031810119171,0
P,100,9,2.7618066086959527,0
P,100,10,2.654351197886279,0
P,100,11,2.656010999559335,0
P,300,0,1.8048859957236871,0
P,300,1,1.7976267659509209,0
P,300,2,1.8197659837407902,0
P,300,3,1.8277917551651912,0
P,300,4,1.8409079630449035,0
P,300,5,1.7921170046076886,0
P,300,6,1.7976143938659268,0
P,300,7,1.8301793951458936,0
P,300,8,1.815394246387251,0
P,300,9,1.7873542175807073,0
P,300,10,1.8115415099843846,0
P,300,11,1.791194069026335,0
P,1000,0,1.5569989560501463,0
P,1000,1,1.5505856774906208,0
P,1000,2,1.5445856301474061,0
P,1000,3,1.5306204263718337,0
P,1000,4,1.563180508768612,0
P,1000,5,1.5223013391208071,0
P,1000,6,1.538227486973457,0
P,1000,7,1.5459892522199137,0
P,1000,8,1.5227737902705236,0
P,1000,9,1.5446159348710073,0
P,1000,10,1.5216922528929735,0
P,1000,11,1.5371756682732836,0
P,3000,0,1.4518794140842235,0
P,3000,1,1.452533432577798,0
P,3000,2,1.4444403424145247,0
P,3000,3,1.4597044845945026,0
P,3000,4,1.4633134454814802,0
P,3000,5,1.4684118007385836,0
P,3000,6,1.4599957918493787,0
P,3000,7,1.4583169313496445,0
P,3000,8,1.4472937332712712,0
P,3000,9,1.4491384732363732,0
P,3000,10,1.4453863506682245,0
P,3000,11,1.4390372692501296,0
PI,1,0,53.80890533944738,1
PI,1,1,51.30219654976015,1
PI,1,2,52.255654199721164,1
PI,1,3,50.37472827740903,1
PI,1,4,52.26301178447788,1
PI,1,5,55.60647828362732,1
PI,1,6,52.98534554584377,1
PI,1,7,54.99034002176858,1
PI,1,8,52.05380725057783,1
PI,1,9,52.55386562573566,1
PI,1,10,52.15805918131718,1
PI,1,11,53.69473426835059,1
PI,3,0,16.640260185336892,1
PI,3,1,16.485409831265535,1
PI,3,2,18.19202417466509,1
PI,3,3,18.819200122509603,1
PI,3,4,17.03377130107056,1
PI,3,5,17.847794169075268,1
PI,3,6,18.545166535071854,1
PI,3,7,18.51760549213375,1
PI,3,8,16.80021087411976,1
PI,3,9,18.598251379894815,1
