controller,N,band,seed,power
"P (d=0, covers none)",10,slow,0,0.5602150916722282
"P (d=0, covers none)",10,slow,1,0.7036381823263205
"P (d=0, covers none)",10,slow,2,0.5976788506004451
"P (d=0, covers none)",10,slow,3,0.6080457336245504
"P (d=0, covers none)",10,slow,4,0.5769627059100624
"P (d=0, covers none)",10,slow,5,0.6172273236449896
"P (d=0, covers none)",10,slow,6,0.6852987002710089
"P (d=0, covers none)",10,slow,7,0.5527540668074072
"P (d=0, covers none)",10,mid,0,1.5203724526824764
"P (d=0, covers none)",10,mid,1,1.709975650640396
"P (d=0, covers none)",10,mid,2,1.919203789353657
"P (d=0, covers none)",10,mid,3,1.983748323152695
"P (d=0, covers none)",10,mid,4,1.84009439427105
"P (d=0, covers none)",10,mid,5,1.8445164038141213
"P (d=0, covers none)",10,mid,6,1.6585350425747103
"P (d=0, covers none)",10,mid,7,1.7090645400753666
"P (d=0, covers none)",10,white,0,2.010919956097935
"P (d=0, covers none)",10,white,1,1.9819035634064988
"P (d=0, covers none)",10,white,2,2.1171796328727392
"P (d=0, covers none)",10,white,3,1.7970031178588506
"P (d=0, covers none)",10,white,4,2.043666064328191
"P (d=0, covers none)",10,white,5,2.0170555294763353
"P (d=0, covers none)",10,white,6,2.1365092107197783
"P (d=0, covers none)",10,white,7,1.9607114118375246
"P (d=0, covers none)",100,slow,0,0.6206887082522847
"P (d=0, covers none)",100,slow,1,0.60590793721474
"P (d=0, covers none)",100,slow,2,0.6129191007058569
"P (d=0, covers none)",100,slow,3,0.6292266169679326
"P (d=0, covers none)",100,slow,4,0.5990195958769192
"P (d=0, covers none)",100,slow,5,0.6282327575073499
"P (d=0, covers none)",100,slow,6,0.6184705980386325
"P (d=0, covers none)",100,slow,7,0.591426111843701
"P (d=0, covers none)",100,mid,0,1.4542350974486813
"P (d=0, covers none)",100,mid,1,1.5041779913911797
"P (d=0, covers none)",100,mid,2,1.4710832587465374
"P (d=0, covers none)",100,mid,3,1.427341182131869
"P (d=0, covers none)",100,mid,4,1.4732249965204482
"P (d=0, covers none)",100,mid,5,1.4862179253622334
"P (d=0, covers none)",100,mid,6,1.5522145218568009
"P (d=0, covers none)",100,mid,7,1.4473772747357665
"P (d=0, covers none)",100,white,0,0.21757957179154278
"P (d=0, covers none)",100,white,1,0.20830097160743274
"P (d=0, covers none)",100,white,2,0.2128585407954851
"P (d=0, covers none)",100,white,3,0.21197920369236323
"P (d=0, covers none)",100,white,4,0.20156908809568314
"P (d=0, covers none)",100,white,5,0.20723745886746067
"P (d=0, covers none)",100,white,6,0.20390152068974474
"P (d=0, covers none)",100,white,7,0.2137229063821334
"P (d=0, covers none)",1000,slow,0,0.6005371422396975
"P (d=0, covers none)",1000,slow,1,0.5945159731079888
"P (d=0, covers none)",1000,slow,2,0.5957295707969001
"P (d=0, covers none)",1000,slow,3,0.6008399209895579
"P (d=0, covers none)",1000,slow,4,0.60091835154637
"P (d=0, covers none)",1000,slow,5,0.5995529338544477
"P (d=0, covers none)",1000,slow,6,0.6020678425852504
"P (d=0, covers none)",1000,slow,7,0.6062648980971301
"P (d=0, covers none)",1000,mid,0,1.4261943928696794
"P (d=0, covers none)",1000,mid,1,1.4464653977229804
"P (d=0, covers none)",1000,mid,2,1.4208542502890193
"P (d=0, covers none)",1000,mid,3,1.4414652289611907
"P (d=0, covers none)",1000,mid,4,1.416127934630343
"P (d=0, covers none)",1000,mid,5,1.4425064010498219
"P (d=0, covers none)",1000,mid,6,1.4336845687735058
"P (d=0, covers none)",1000,mid,7,1.4303677965403354
"P (d=0, covers none)",1000,white,0,0.025028444742755764
"P (d=0, covers none)",1000,white,1,0.024007483828869382
"P (d=0, covers none)",1000,white,2,0.02305335270858699
"P (d=0, covers none)",1000,white,3,0.023619100851734513
"P (d=0, covers none)",1000,white,4,0.023913609420158397
"P (d=0, covers none)",1000,white,5,0.02289286041517521
"P (d=0, covers none)",1000,white,6,0.02348786890232275
"P (d=0, covers none)",1000,white,7,0.02290009021436581
"RES-slow (d=2, covers slow)",10,slow,0,0.019750856918001186
"RES-slow (d=2, covers slow)",10,slow,1,0.054683757697138055
"RES-slow (d=2, covers slow)",10,slow,2,0.031005584912608075
"RES-slow (d=2, covers slow)",10,slow,3,0.02529571950981359
"RES-slow (d=2, covers slow)",10,slow,4,0.029472606108518803
"RES-slow (d=2, covers slow)",10,slow,5,0.037015357556304314
"RES-slow (d=2, covers slow)",10,slow,6,0.039506046254190366
"RES-slow (d=2, covers slow)",10,slow,7,0.023967942693725364
"RES-slow (d=2, covers slow)",10,mid,0,1.5300065827380138
"RES-slow (d=2, covers slow)",10,mid,1,1.7597293069146869
"RES-slow (d=2, covers slow)",10,mid,2,1.939617360218168
"RES-slow (d=2, covers slow)",10,mid,3,1.8886248787995132
"RES-slow (d=2, covers slow)",10,mid,4,1.7497654671305858
"RES-slow (d=2, covers slow)",10,mid,5,1.8825511243316164
"RES-slow (d=2, covers slow)",10,mid,6,1.5393331709243303
"RES-slow (d=2, covers slow)",10,mid,7,1.671803174118246
"RES-slow (d=2, covers slow)",10,white,0,1.998645573496357
"RES-slow (d=2, covers slow)",10,white,1,1.9709475986604437
"RES-slow (d=2, covers slow)",10,white,2,2.1033166487945243
"RES-slow (d=2, covers slow)",10,white,3,1.7873090744435627
"RES-slow (d=2, covers slow)",10,white,4,2.0305898940766203
"RES-slow (d=2, covers slow)",10,white,5,2.0045676752664217
"RES-slow (d=2, covers slow)",10,white,6,2.122039547642585
"RES-slow (d=2, covers slow)",10,white,7,1.9486823880502782
"RES-slow (d=2, covers slow)",100,slow,0,0.018114784495914735
