obs,ctrl,N,seed,mse
1.0,P (d=0),10,0,5.331079725824768
1.0,P (d=0),10,1,5.373376754883975
1.0,P (d=0),10,2,5.42017438476493
1.0,P (d=0),10,3,5.3588796556254605
1.0,P (d=0),10,4,5.367324175950442
1.0,P (d=0),10,5,5.310898180139685
1.0,P (d=0),100,0,3.773162958306644
1.0,P (d=0),100,1,3.78277106091669
1.0,P (d=0),100,2,3.804663490214073
1.0,P (d=0),100,3,3.7825290329598165
1.0,P (d=0),100,4,3.7782096108696694
1.0,P (d=0),100,5,3.7681332369038785
1.0,P (d=0),300,0,3.661669436005626
1.0,P (d=0),300,1,3.6630998170601377
1.0,P (d=0),300,2,3.680443412675183
1.0,P (d=0),300,3,3.6649713240842474
1.0,P (d=0),300,4,3.6598223641046066
1.0,P (d=0),300,5,3.658631295528431
1.0,PI (d=1),10,0,2.439131475868594
1.0,PI (d=1),10,1,2.441583226573111
1.0,PI (d=1),10,2,2.428643210697611
1.0,PI (d=1),10,3,2.4124264299759726
1.0,PI (d=1),10,4,2.448118464370374
1.0,PI (d=1),10,5,2.421842513114279
1.0,PI (d=1),100,0,0.5557654584394486
1.0,PI (d=1),100,1,0.5604452916504601
1.0,PI (d=1),100,2,0.5575647620374401
1.0,PI (d=1),100,3,0.5540157386307639
1.0,PI (d=1),100,4,0.5604372055813918
1.0,PI (d=1),100,5,0.5553779588841017
1.0,PI (d=1),300,0,0.4170293091877759
1.0,PI (d=1),300,1,0.4201569790691219
1.0,PI (d=1),300,2,0.41871222096081145
1.0,PI (d=1),300,3,0.4165125891520839
1.0,PI (d=1),300,4,0.4195133314155758
1.0,PI (d=1),300,5,0.417374682204655
1.0,PI+res (d=3),10,0,2.356828226509209
1.0,PI+res (d=3),10,1,2.332113270888761
1.0,PI+res (d=3),10,2,2.330600979844812
1.0,PI+res (d=3),10,3,2.318384238844111
1.0,PI+res (d=3),10,4,2.343157915528441
1.0,PI+res (d=3),10,5,2.322570267296727
1.0,PI+res (d=3),100,0,0.2835810339132919
1.0,PI+res (d=3),100,1,0.28042385446188756
1.0,PI+res (d=3),100,2,0.28116715681544546
1.0,PI+res (d=3),100,3,0.27989438518500454
1.0,PI+res (d=3),100,4,0.2813799050226576
1.0,PI+res (d=3),100,5,0.2792948305788957
1.0,PI+res (d=3),300,0,0.12993565381211833
1.0,PI+res (d=3),300,1,0.12834630247702836
1.0,PI+res (d=3),300,2,0.12873434786095278
1.0,PI+res (d=3),300,3,0.12865840076343033
1.0,PI+res (d=3),300,4,0.12824788134257178
1.0,PI+res (d=3),300,5,0.1281620809542049
0.5,P (d=0),10,0,19.262882166565905
0.5,P (d=0),10,1,19.35976995951712
0.5,P (d=0),10,2,19.45449298946197
0.5,P (d=0),10,3,19.360523715702318
0.5,P (d=0),10,4,19.29584109371889
0.5,P (d=0),10,5,19.272162058746044
0.5,P (d=0),100,0,18.53019703043697
0.5,P (d=0),100,1,18.51190352969092
0.5,P (d=0),100,2,18.584210761732063
0.5,P (d=0),100,3,18.520788917275436
0.5,P (d=0),100,4,18.486450876958656
0.5,P (d=0),100,5,18.512898990579934
0.5,P (d=0),300,0,18.48732302177277
0.5,P (d=0),300,1,18.446138323464506
0.5,P (d=0),300,2,18.513376998393454
0.5,P (d=0),300,3,18.457897586673084
0.5,P (d=0),300,4,18.428138024059688
0.5,P (d=0),300,5,18.46502808304833
0.5,PI (d=1),10,0,3.6823424147561066
0.5,PI (d=1),10,1,3.7255795841245325
0.5,PI (d=1),10,2,3.681487805111141
0.5,PI (d=1),10,3,3.702133718747408
0.5,PI (d=1),10,4,3.7585880791316337
0.5,PI (d=1),10,5,3.7022530954178134
0.5,PI (d=1),100,0,2.7153960076872554
0.5,PI (d=1),100,1,2.721105953555943
0.5,PI (d=1),100,2,2.713548257484052
0.5,PI (d=1),100,3,2.706846508988644
0.5,PI (d=1),100,4,2.728502410407059
0.5,PI (d=1),100,5,2.7131410509959357
0.5,PI (d=1),300,0,2.646558505788525
0.5,PI (d=1),300,1,2.6454362272513485
0.5,PI (d=1),300,2,2.643481668397093
0.5,PI (d=1),300,3,2.6336435387331427
0.5,PI (d=1),300,4,2.6469803701357364
0.5,PI (d=1),300,5,2.640275891526034
0.5,PI+res (d=3),10,0,2.1747591691743433
0.5,PI+res (d=3),10,1,2.1939659069905284
0.5,PI+res (d=3),10,2,2.1651326013152645
0.5,PI+res (d=3),10,3,2.1695246192676065
0.5,PI+res (d=3),10,4,2.1842320322102613
0.5,PI+res (d=3),10,5,2.169104804304578
0.5,PI+res (d=3),100,0,1.0980936690542298
0.5,PI+res (d=3),100,1,1.0945911887363733
0.5,PI+res (d=3),100,2,1.0893678892298115
0.5,PI+res (d=3),100,3,1.0883379808882818
0.5,PI+res (d=3),100,4,1.091499124454801
0.5,PI+res (d=3),100,5,1.092361409506081
0.5,PI+res (d=3),300,0,1.0188741253328282
0.5,PI+res (d=3),300,1,1.0113435385694394
0.5,PI+res (d=3),300,2,1.009460665390625
0.5,PI+res (d=3),300,3,1.00933261348482
0.5,PI+res (d=3),300,4,1.0090253972550205
0.5,PI+res (d=3),300,5,1.0133578090698476
